title	year	Director1	Genre1	Genre2	Genre3	stars
Imitation of Life (1959)	1959	Douglas Sirk	Drama	None	None	8
The Rain People (1969)	1969	Francis Ford Coppola	Drama	None	None	7
Saints and Soldiers (2003)	2003	Ryan Little	Drama	Adventure	Action	7
Coffee and Cigarettes (1986)	1986	Jim Jarmusch	Short	Comedy	None	7
Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 hours 11 minutes (1965)	1965	Ken Annakin	Family	Comedy	Adventure	7
The Three Musketeers (1973)	1973	Richard Lester	Adventure	Action	None	7
The Bodyguard (1992)	1992	Mick Jackson	Music	Drama	Action	6
Essex Boys (2000)	2000	Terry Winsor	Thriller	Crime	None	6
Fugitive Pieces (2007)	2007	Jeremy Podeswa	War	Drama	Adventure	7
1984 (1956)	1956	Michael Anderson	Sci-Fi	Drama	None	7
Mad Monster Party? (1967)	1967	Jules Bass	Family	Comedy	Animation	7
The Gay Divorcee (1934)	1934	Mark Sandrich	Romance	Musical	Comedy	8
Mickey's Twice Upon a Christmas (2004) (V)	2004	Carole Holliday	Family	Comedy	Animation	7
El Bola (2000)	2000	Achero Mañas	Drama	None	None	7
Hellraiser: Hellseeker (2002) (V)	2002	Rick Bota	Thriller	Mystery	Horror	5
Welcome to the Dollhouse (1995)	1995	Todd Solondz	Drama	Comedy	None	8
Rules of Engagement (2000)	2000	William Friedkin	War	Thriller	Drama	6
Ninja Assassin (2009)	2009	James McTeigue	Thriller	Crime	Action	6
In a Dark Place (2006)	2006	Donato Rotunno	Thriller	Horror	None	4
Girl with a Pearl Earring (2003)	2003	Peter Webber	Romance	Drama	Biography	7
Love Letter (1995)	1995	Shunji Iwai	Romance	Drama	None	8
Montana Sky (2007) (TV)	2007	Mike Robe	Thriller	Romance	Drama	6
Open Season (2006)	2006	Roger Allers	Comedy	Adventure	Animation	6
The Slipper and the Rose: The Story of Cinderella (1976)	1976	Bryan Forbes	Fantasy	Family	Adventure	7
Silent Fall (1994)	1994	Bruce Beresford	Thriller	Mystery	Drama	6
Amateur (1994)	1994	Hal Hartley	Drama	Crime	Comedy	7
The Cat and the Canary (1939)	1939	Elliott Nugent	Mystery	Horror	Comedy	7
Circumstance (2011)	2011	Maryam Keshavarz	Drama	None	None	6
Dishoom (2016)	2016	Rohit Dhawan	Comedy	Adventure	Action	6
Rise of the Footsoldier (2007)	2007	Julian Gilbey	Drama	Crime	Biography	7
Flawless (1999)	1999	Joel Schumacher	Drama	Crime	Comedy	6
Footloose (2011)	2011	Craig Brewer	Music	Drama	Comedy	6
Surf Ninjas (1993)	1993	Neal Israel	Comedy	Adventure	Action	5
Metal: A Headbanger's Journey (2005)	2005	Sam Dunn	Music	Documentary	None	8
Moonstruck (1987)	1987	Norman Jewison	Romance	Drama	Comedy	7
Full Frontal (2002)	2002	Steven Soderbergh	Romance	Comedy	None	5
Grave Encounters (2011)	2011	Colin Minihan	Horror	None	None	6
The Violent Kind (2010)	2010	Mitchell Altieri	Horror	None	None	5
Unrest (2006/I)	2006	Jason Todd Ipson	Thriller	Horror	None	5
Revenge of the Nerds II: Nerds in Paradise (1987)	1987	Joe Roth	Comedy	None	None	5
Birdman or (The Unexpected Virtue of Ignorance) (2014)	2014	Alejandro G. Iñárritu	Romance	Drama	Comedy	8
Fat Slags (2004)	2004	Ed Bye	Comedy	None	None	3
Rakhta Charitra (2010)	2010	Ram Gopal Varma	Crime	Biography	Action	8
The Hamiltons (2006)	2006	Mitchell Altieri	Thriller	Horror	Drama	5
Death on the Nile (1978)	1978	John Guillermin	Mystery	Drama	Crime	7
August Underground's Mordum (2003) (V)	2003	Jerami Cruise	Horror	None	None	3
Warriors of Virtue (1997)	1997	Ronny Yu	Adventure	Fantasy	Action	5
Il secondo tragico Fantozzi (1976)	1976	Luciano Salce	Comedy	None	None	8
Ryan (2004)	2004	Chris Landreth	Short	Animation	Documentary	8
The Convent (2000)	2000	Mike Mendez	Horror	Fantasy	Comedy	5
Emelie (2015)	2015	Michael Thelin	Thriller	Horror	None	5
Modern Romance (1981)	1981	Albert Brooks	Romance	Comedy	None	7
Down with Love (2003)	2003	Peyton Reed	Romance	Comedy	None	6
From the Hip (1987)	1987	Bob Clark	Drama	Crime	Comedy	6
Shout (1991)	1991	Jeffrey Hornaday	Romance	Music	Drama	5
F for Fake (1973)	1973	Orson Welles	Documentary	None	None	8
Shottas (2002)	2002	Cess Silvera	Drama	Crime	Action	6
Sleepwalkers (1992)	1992	Mick Garris	Horror	None	None	5
Prince Valiant (1997)	1997	Anthony Hickox	Romance	Fantasy	Adventure	5
Cutthroat Island (1995)	1995	Renny Harlin	Comedy	Adventure	Action	6
Lymelife (2008)	2008	Derick Martini	Romance	Drama	Comedy	7
The Doors: When You're Strange (2009)	2009	Tom DiCillo	Music	Documentary	None	8
Bad Boy (2002)	2002	Victoria Hochberg	Romance	Comedy	Drama	5
Jumpin' Jack Flash (1986)	1986	Penny Marshall	Thriller	Romance	Comedy	6
Cabin in the Sky (1943)	1943	Vincente Minnelli	Fantasy	Musical	None	7
Dogtown and Z-Boys (2001)	2001	Stacy Peralta	Sport	Documentary	None	8
Biggie and Tupac (2002)	2002	Nick Broomfield	Crime	Biography	Documentary	7
Brother's Keeper (1992)	1992	Joe Berlinger	Mystery	Crime	Documentary	8
The Big Heat (1953)	1953	Fritz Lang	Thriller	Film-Noir	Crime	8
Birdy (1984)	1984	Alan Parker	War	Drama	None	7
Chasing Liberty (2004)	2004	Andy Cadiff	Romance	Comedy	None	6
Pulp (1972)	1972	Mike Hodges	Drama	Crime	Comedy	6
The Little Drummer Boy (1968) (TV)	1968	Jules Bass	Animation	Short	Family	7
Leningrad (2009)	2009	Aleksandr Buravskiy	War	Drama	None	6
Doctor Strange (2007) (V)	2007	Patrick Archibald	Fantasy	Action	Animation	7
Experimenter (2015)	2015	Michael Almereyda	History	Drama	Biography	7
28 Hotel Rooms (2012)	2012	Matt Ross	Romance	Drama	None	6
Mine Games (2012)	2012	Richard Gray	Thriller	Sci-Fi	Mystery	5
Dave Chappelle's Block Party (2005)	2005	Michel Gondry	Music	Comedy	Documentary	7
The Graves (2009)	2009	Brian Pulido	Thriller	Horror	Adventure	4
Cemetery Junction (2010)	2010	Ricky Gervais	Drama	Comedy	None	7
Hamlet (2000)	2000	Michael Almereyda	Thriller	Romance	Drama	6
MP3: Mera Pehla Pehla Pyaar (2007)	2007	Robby Grewal	Romance	Drama	None	7
White Sands (1992)	1992	Roger Donaldson	Drama	Crime	Action	6
Love and Honor (2013)	2013	Danny Mooney	War	Romance	Drama	6
Sibling Rivalry (1990)	1990	Carl Reiner	Comedy	None	None	5
Hyde Park on Hudson (2012)	2012	Roger Michell	Drama	Comedy	Biography	6
Five Fingers (2006)	2006	Laurence Malkin	Thriller	Drama	None	6
The Glass House (2001)	2001	Daniel Sackheim	Mystery	Drama	Crime	6
Forgotten Silver (1995) (TV)	1995	Costa Botes	Comedy	None	None	8
Mojave Moon (1996)	1996	Kevin Dowling	Thriller	Romance	Comedy	5
How to Make a Monster (2001) (TV)	2001	George Huang	Thriller	Sci-Fi	Horror	4
The Age of Adaline (2015)	2015	Lee Toland Krieger	Romance	Fantasy	Drama	7
Mommy (2014/I)	2014	Xavier Dolan	Drama	None	None	8
A Teacher (2013)	2013	Hannah Fidell	Romance	Drama	None	5
Mr. & Mrs. Khiladi (1997)	1997	David Dhawan	Comedy	None	None	7
Wristcutters: A Love Story (2006)	2006	Goran Dukic	Fantasy	Drama	Comedy	7
Hollywood Chainsaw Hookers (1988)	1988	Fred Olen Ray	Horror	Comedy	None	5
Eegah (1962)	1962	Arch Hall Sr.	Comedy	None	None	2
My Best Friend Is a Vampire (1987)	1987	Jimmy Huston	Romance	Horror	Comedy	6
The Untouchables (1987)	1987	Brian De Palma	Thriller	Drama	Crime	8
Mother (1996/II)	1996	Albert Brooks	Drama	Comedy	None	7
Too Late for Tears (1949)	1949	Byron Haskin	Film-Noir	Drama	Crime	7
Stone Cold (1991)	1991	Craig R. Baxley	Drama	Crime	Action	6
The Real McCoy (1993)	1993	Russell Mulcahy	Thriller	Drama	Crime	5
My Sister's Keeper (2009)	2009	Nick Cassavetes	Drama	None	None	7
The Adventures of Sebastian Cole (1998)	1998	Tod Williams	Drama	Comedy	None	7
Parallels (2015/I)	2015	Christopher Leone	Sci-Fi	Action	None	6
Mr. Destiny (1990)	1990	James Orr	Romance	Fantasy	Comedy	6
The Birth of a Nation (1915)	1915	D.W. Griffith	War	History	Drama	7
Group Sex (2010) (V)	2010	Lawrence Trilling	Comedy	None	None	5
Comedy Central Roast of William Shatner (2006) (TV)	2006	Joel Gallen	Comedy	None	None	7
The Quiller Memorandum (1966)	1966	Michael Anderson	Mystery	Drama	Crime	6
Cry_Wolf (2005)	2005	Jeff Wadlow	Mystery	Horror	Drama	6
Sheitan (2006)	2006	Kim Chapiron	Thriller	Horror	Comedy	6
Burn Notice: The Fall of Sam Axe (2011) (TV)	2011	Jeffrey Donovan	Drama	Crime	Comedy	7
Another 48 Hrs. (1990)	1990	Walter Hill	Crime	Comedy	Action	6
Jaws 3-D (1983)	1983	Joe Alves	Thriller	Horror	Adventure	4
Encounters at the End of the World (2007)	2007	Werner Herzog	Documentary	None	None	8
Seal Team Eight: Behind Enemy Lines (2014)	2014	Roel Reiné	War	Drama	Action	4
PT 109 (1963)	1963	Leslie H. Martinson	War	Drama	Biography	6
Dodge City (1939)	1939	Michael Curtiz	Western	None	None	7
Strippers vs Werewolves (2012)	2012	Jonathan Glendening	Horror	Comedy	None	3
Mr. Skeffington (1944)	1944	Vincent Sherman	Romance	Drama	None	8
The Inbetweeners 2 (2014)	2014	Damon Beesley	Comedy	None	None	6
The Battered Bastards of Baseball (2014)	2014	Chapman Way	Sport	Documentary	None	8
The Entertainer (1960)	1960	Tony Richardson	Drama	None	None	7
Fur: An Imaginary Portrait of Diane Arbus (2006)	2006	Steven Shainberg	Romance	Drama	Biography	6
The Citizen (2012)	2012	Sam Kadi	Drama	None	None	7
Sex Is Comedy (2002)	2002	Catherine Breillat	Romance	Drama	Comedy	6
Rush Hour 3 (2007)	2007	Brett Ratner	Crime	Comedy	Action	6
Julia X (2011)	2011	P.J. Pettiette	Thriller	Horror	Comedy	4
A Perfect Ending (2012)	2012	Nicole Conn	Romance	Drama	None	6
Gunda (1998)	1998	Kanti Shah	Crime	Comedy	Action	8
The Hobbit (1977) (TV)	1977	Jules Bass	Family	Adventure	Animation	7
Norma Jean & Marilyn (1996) (TV)	1996	Tim Fywell	Drama	Biography	None	6
Aftermath (1994)	1994	Nacho Cerdà	Horror	Short	None	6
Azumi 2: Death or Love (2005)	2005	Shûsuke Kaneko	Action	None	None	6
A Nightmare on Elm Street (1984)	1984	Wes Craven	Horror	None	None	8
W. (2008/I)	2008	Oliver Stone	History	Drama	Biography	6
Bernard and Doris (2006)	2006	Bob Balaban	Drama	Comedy	Biography	7
The Onion Field (1979)	1979	Harold Becker	Drama	Crime	None	7
Return of the Fly (1959)	1959	Edward Bernds	Horror	Fantasy	Drama	6
Veeram (2014)	2014	Siva	Family	Action	None	7
Pauly Shore Is Dead (2003)	2003	Pauly Shore	Comedy	None	None	5
Zombie Honeymoon (2004)	2004	David Gebroe	Romance	Horror	Drama	5
Viva Zapata! (1952)	1952	Elia Kazan	History	Drama	Biography	8
House of the Rising Sun (2011)	2011	Brian A Miller	Drama	Crime	Action	4
I Wake Up Screaming (1941)	1941	H. Bruce Humberstone	Film-Noir	Drama	Crime	7
The Swimmer (1968)	1968	Frank Perry	Drama	None	None	8
2010 (1984)	1984	Peter Hyams	Sci-Fi	Mystery	Adventure	7
Gimme Shelter (1970)	1970	Albert Maysles	Thriller	Music	Documentary	8
Broken Flowers (2005)	2005	Jim Jarmusch	Mystery	Drama	Comedy	7
Bright Star (2009)	2009	Jane Campion	Romance	Drama	Biography	7
Free Enterprise (1998)	1998	Robert Meyer Burnett	Romance	Comedy	None	7
Love at First Hiccup (2009)	2009	Barbara Topsøe-Rothenborg	Comedy	None	None	6
Creature from the Haunted Sea (1961)	1961	Roger Corman	Horror	Comedy	None	3
Loverboy (1989)	1989	Joan Micklin Silver	Comedy	None	None	6
The Secret of NIMH (1982)	1982	Don Bluth	Drama	Adventure	Animation	8
Little Lord Fauntleroy (1980) (TV)	1980	Jack Gold	Romance	Family	Drama	7
Listen to Your Heart (2010)	2010	Matt Thompson	Romance	Music	Drama	7
Tower Heist (2011)	2011	Brett Ratner	Crime	Comedy	Action	6
Hereafter (2010)	2010	Clint Eastwood	Fantasy	Drama	None	6
The Appaloosa (1966)	1966	Sidney J. Furie	Western	None	None	6
Get on Up (2014)	2014	Tate Taylor	Music	Drama	Biography	7
The Magic of Belle Isle (2012)	2012	Rob Reiner	Drama	Comedy	None	7
City of Angels (1998)	1998	Brad Silberling	Romance	Fantasy	Drama	7
Mother Night (1996)	1996	Keith Gordon	War	Romance	Drama	7
The AristoCats (1970)	1970	Wolfgang Reitherman	Comedy	Adventure	Animation	7
Connie and Carla (2004)	2004	Michael Lembeck	Music	Crime	Comedy	6
Nightmare (1981)	1981	Romano Scavolini	Horror	Drama	Crime	6
Lara Croft Tomb Raider: The Cradle of Life (2003)	2003	Jan de Bont	Fantasy	Adventure	Action	6
Fat Albert (2004)	2004	Joel Zwick	Fantasy	Family	Comedy	4
This Gun for Hire (1942)	1942	Frank Tuttle	Film-Noir	Drama	Crime	8
Aquamarine (2006)	2006	Elizabeth Allen Rosenbaum	Fantasy	Family	Comedy	5
Bed of Roses (1996)	1996	Michael Goldenberg	Drama	Romance	None	6
Mr. Turner (2014)	2014	Mike Leigh	History	Drama	Biography	7
Dr. Goldfoot and the Bikini Machine (1965)	1965	Norman Taurog	Sci-Fi	Comedy	None	5
Isn't She Great (2000)	2000	Andrew Bergman	Romance	Comedy	Biography	5
Anuvahood (2011)	2011	Adam Deacon	Drama	Crime	Comedy	5
Ultimate Avengers II (2006) (V)	2006	Will Meugniot	Adventure	Action	Animation	7
Hangman's Curse (2003)	2003	Rafal Zielinski	Thriller	Mystery	Horror	5
Highlander: The Search for Vengeance (2007) (V)	2007	Yoshiaki Kawajiri	Fantasy	Action	Animation	7
Blithe Spirit (1945)	1945	David Lean	Fantasy	Comedy	None	7
Deep Impact (1998)	1998	Mimi Leder	Romance	Drama	Action	6
The Man Without a Face (1993)	1993	Mel Gibson	Drama	None	None	7
Dead End (1937)	1937	William Wyler	Film-Noir	Drama	Crime	8
Manglehorn (2014)	2014	David Gordon Green	Drama	None	None	6
Comanche Station (1960)	1960	Budd Boetticher	Western	Drama	None	7
Pervert! (2005)	2005	Jonathan Yudis	Horror	Comedy	None	5
Boy Culture (2006)	2006	Q. Allan Brocka	Romance	Drama	None	7
Repli-Kate (2002)	2002	Frank Longo	Sci-Fi	Comedy	None	6
Une femme est une femme (1961)	1961	Jean-Luc Godard	Comedy	Short	None	8
Hungry Hearts (2014)	2014	Saverio Costanzo	Thriller	Drama	None	6
The Last Valley (1971)	1971	James Clavell	War	Drama	Adventure	7
Jawani Phir Nahi Ani (2015)	2015	Nadeem Beyg	Romance	Comedy	Adventure	8
Father Hood (1993)	1993	Darrell Roodt	Comedy	None	None	5
Carolina (2003/I)	2003	Marleen Gorris	Romance	Drama	Comedy	6
When the Wind Blows (1986)	1986	Jimmy T. Murakami	Drama	Comedy	Animation	8
The Miracle Worker (1962)	1962	Arthur Penn	Drama	Biography	None	8
The Secret of Moonacre (2008)	2008	Gabor Csupo	Fantasy	Family	Adventure	6
See Spot Run (2001)	2001	John Whitesell	Crime	Comedy	Action	5
Utomlyonnye solntsem 2: Predstoyanie (2010)	2010	Nikita Mikhalkov	War	Drama	None	4
LUV (2012)	2012	Sheldon Candis	Drama	Crime	None	6
Les Lyonnais (2011)	2011	Edgar Marie	Documentary	None	None	7
101 Dalmatians (1996)	1996	Stephen Herek	Family	Comedy	Adventure	6
1 chance sur 2 (1998)	1998	Patrice Leconte	Comedy	Adventure	Action	6
Possessed (1947)	1947	Curtis Bernhardt	Film-Noir	Drama	Crime	7
Son in Law (1993)	1993	Steve Rash	Romance	Drama	Comedy	6
In Fear (2013/I)	2013	Jeremy Lovering	Thriller	Mystery	Horror	6
Stand by Me (1986)	1986	Rob Reiner	Drama	Adventure	None	8
Escape from Tomorrow (2013)	2013	Randy Moore	Horror	Fantasy	Drama	5
Song One (2014)	2014	Kate Barker-Froyland	Music	Drama	None	6
Messengers 2: The Scarecrow (2009) (V)	2009	Martin Barnewitz	Horror	None	None	5
Tarzan and the Huntress (1947)	1947	Kurt Neumann	Romance	Adventure	Action	7
Henry Fool (1997)	1997	Hal Hartley	Drama	Comedy	None	7
Top Hat (1935)	1935	Mark Sandrich	Romance	Musical	Comedy	8
Fled (1996)	1996	Kevin Hooks	Crime	Adventure	Action	5
Underworld: Awakening (2012)	2012	Måns Mårlind	Horror	Fantasy	Action	6
Aadukalam (2011)	2011	Vetrimaaran	Romance	Drama	Action	8
Bangkok Dangerous (2000)	2000	Danny Pang	Romance	Crime	Action	7
A Civil Action (1998)	1998	Steven Zaillian	Drama	None	None	6
Aligarh (2015)	2015	Hansal Mehta	Drama	Biography	None	8
Next of Kin (1989)	1989	John Irvin	Thriller	Crime	Action	6
Precious (2009/II)	2009	Lee Daniels	Drama	None	None	7
At War with the Army (1950)	1950	Hal Walker	War	Musical	Comedy	6
Goya's Ghosts (2006)	2006	Milos Forman	History	Drama	Biography	7
Far from Heaven (2002)	2002	Todd Haynes	Romance	Drama	None	7
Heyy Babyy (2007)	2007	Sajid Khan	Drama	Comedy	None	6
Treasure Island (1950)	1950	Byron Haskin	Family	Adventure	None	7
